ubigeo,departamento,provincia,distrito,coverage_index_baseline,coverage_index_alt,rank_baseline,rank_alternative,rank_diff
050505,AYACUCHO,LA MAR,CHUNGUI,0.0,0.0,1.0,1.0,0
050109,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,0.0,0.0,1.0,1.0,0
050103,AYACUCHO,HUAMANGA,ACOS VINCHOS,0.0,0.0,1.0,1.0,0
050111,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,0.0,0.0,1.0,1.0,0
050107,AYACUCHO,HUAMANGA,PACAYCASA,0.0,0.0,1.0,1.0,0
070107,CALLAO,CALLAO,MI PERU,0.0,0.0,1.0,1.0,0
160804,LORETO,PUTUMAYO,YAGUAS,0.0,0.0,1.0,1.0,0
160802,LORETO,PUTUMAYO,ROSA PANDURO,0.0,0.0,1.0,1.0,0
080911,CUSCO,LA CONVENCION,INKAWASI,0.0,0.0,1.0,1.0,0
090719,HUANCAVELICA,TAYACAJA,QUICHUAS,0.0,0.0,1.0,1.0,0
230404,TACNA,TARATA,ESTIQUE-PAMPA,0.0,0.0,1.0,1.0,0
230403,TACNA,TARATA,ESTIQUE,0.0,0.0,1.0,1.0,0
230407,TACNA,TARATA,TARUCACHI,0.0,0.0,1.0,1.0,0
021707,ANCASH,RECUAY,PAMPAS CHICO,0.0,0.0,1.0,1.0,0
021708,ANCASH,RECUAY,PARARIN,0.0,0.0,1.0,1.0,0
100608,HUANUCO,LEONCIO PRADO,CASTILLO GRANDE,0.0,0.0,1.0,1.0,0
100607,HUANUCO,LEONCIO PRADO,PUCAYACU,0.0,0.0,1.0,1.0,0
160505,LORETO,REQUENA,MAQUIA,0.0,0.0,1.0,1.0,0
100904,HUANUCO,PUERTO INCA,TOURNAVISTA,0.0,0.0,1.0,1.0,0
250305,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,0.0,0.0,1.0,1.0,0
250302,UCAYALI,PADRE ABAD,IRAZOLA,0.0,0.0,1.0,1.0,0
230301,TACNA,JORGE BASADRE,LOCUMBA,0.0,0.0,1.0,1.0,0
230107,TACNA,TACNA,PALCA,0.0,0.0,1.0,1.0,0
230402,TACNA,TARATA,HEROES ALBARRACIN,0.0,0.0,1.0,1.0,0
230204,TACNA,CANDARAVE,CURIBAYA,0.0,0.0,1.0,1.0,0
230405,TACNA,TARATA,SITAJARA,0.0,0.0,1.0,1.0,0
230206,TACNA,CANDARAVE,QUILAHUANI,0.0,0.0,1.0,1.0,0
230401,TACNA,TARATA,TARATA,0.0,0.0,1.0,1.0,0
230205,TACNA,CANDARAVE,HUANUARA,0.0,0.0,1.0,1.0,0
230408,TACNA,TARATA,TICACO,0.0,0.0,1.0,1.0,0
230302,TACNA,JORGE BASADRE,ILABAYA,0.0,0.0,1.0,1.0,0
100610,HUANUCO,LEONCIO PRADO,SANTO DOMINGO DE ANDA,0.0,0.0,1.0,1.0,0
230406,TACNA,TARATA,SUSAPAYA,0.0,0.0,1.0,1.0,0
230203,TACNA,CANDARAVE,CAMILACA,0.0,0.0,1.0,1.0,0
210502,PUNO,EL COLLAO,CAPAZO,0.0,0.0,1.0,1.0,0
230201,TACNA,CANDARAVE,CANDARAVE,0.0,0.0,1.0,1.0,0
180103,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,0.0,0.0,1.0,1.0,0
210405,PUNO,CHUCUITO,PISACOMA,0.0,0.0,1.0,1.0,0
180205,MOQUEGUA,GENERAL SANCHEZ CERRO,LA CAPILLA,0.0,0.0,1.0,1.0,0
180209,MOQUEGUA,GENERAL SANCHEZ CERRO,QUINISTAQUILLAS,0.0,0.0,1.0,1.0,0
210404,PUNO,CHUCUITO,KELLUYO,0.0,0.0,1.0,1.0,0
180105,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,0.0,0.0,1.0,1.0,0
210402,PUNO,CHUCUITO,DESAGUADERO,0.0,0.0,1.0,1.0,0
180201,MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,0.0,0.0,1.0,1.0,0
210504,PUNO,EL COLLAO,SANTA ROSA,0.0,0.0,1.0,1.0,0
050106,AYACUCHO,HUAMANGA,OCROS,0.0,0.0,1.0,1.0,0
050506,AYACUCHO,LA MAR,LUIS CARRANZA,0.0,0.0,1.0,1.0,0
050102,AYACUCHO,HUAMANGA,ACOCRO,0.0,0.0,1.0,1.0,0
210209,PUNO,AZANGARO,POTONI,0.0,0.0,1.0,1.0,0
030303,APURIMAC,ANTABAMBA,HUAQUIRCA,0.0,0.0,1.0,1.0,0
030307,APURIMAC,ANTABAMBA,SABAINO,0.0,0.0,1.0,1.0,0
030713,APURIMAC,GRAU,VIRUNDO,0.0,0.0,1.0,1.0,0
250203,UCAYALI,ATALAYA,TAHUANIA,0.0,0.0,1.0,1.0,0
100311,HUANUCO,DOS DE MAYO,MARIAS,0.0,0.0,1.0,1.0,0
100112,HUANUCO,HUANUCO,YACUS,0.0,0.0,1.0,1.0,0
050112,AYACUCHO,HUAMANGA,SOCOS,0.0,0.0,1.0,1.0,0
050113,AYACUCHO,HUAMANGA,TAMBILLO,0.0,0.0,1.0,1.0,0
180102,MOQUEGUA,MARISCAL NIETO,CARUMAS,0.0,0.0,1.0,1.0,0
180203,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,0.0,0.0,1.0,1.0,0
210403,PUNO,CHUCUITO,HUACULLANI,0.0,0.0,1.0,1.0,0
050704,AYACUCHO,PARINACOCHAS,PACAPAUSA,0.0,0.0,1.0,1.0,0
050410,AYACUCHO,HUANTA,UCHURACCAY,0.0,0.0,1.0,1.0,0
050606,AYACUCHO,LUCANAS,CHIPAO,0.0,0.0,1.0,1.0,0
040406,AREQUIPA,CASTILLA,CHOCO,0.0,0.0,1.0,1.0,0
040803,AREQUIPA,LA UNION,CHARCANA,0.0,0.0,1.0,1.0,0
080802,CUSCO,ESPINAR,CONDOROMA,0.0,0.0,1.0,1.0,0
040802,AREQUIPA,LA UNION,ALCA,0.0,0.0,1.0,1.0,0
160511,LORETO,REQUENA,YAQUERANA,0.0,0.0,1.0,1.0,0
160501,LORETO,REQUENA,REQUENA,0.0,0.0,1.0,1.0,0
160507,LORETO,REQUENA,SAQUENA,0.0,0.0,1.0,1.0,0
050707,AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,0.0,0.0,1.0,1.0,0
050607,AYACUCHO,LUCANAS,HUAC-HUAS,0.0,0.0,1.0,1.0,0
180207,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,0.0,0.0,1.0,1.0,0
180202,MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,0.0,0.0,1.0,1.0,0
050803,AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,0.0,0.0,1.0,1.0,0
050810,AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA,0.0,0.0,1.0,1.0,0
050801,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,0.0,0.0,1.0,1.0,0
050809,AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA,0.0,0.0,1.0,1.0,0
030301,APURIMAC,ANTABAMBA,ANTABAMBA,0.0,0.0,1.0,1.0,0
030403,APURIMAC,AYMARAES,CARAYBAMBA,0.0,0.0,1.0,1.0,0
110405,ICA,PALPA,TIBILLO,0.0,0.0,1.0,1.0,0
