ubigeo,distrito,provincia,departamento,n_facilities,n_emergency_facilities,total_atenciones,n_ccpp,mean_dist_km,median_dist_km,max_dist_km,n_facilities_per_ccpp,n_emergency_per_ccpp,share_cp_within_15km,log_atenciones,z_supply_alt,z_activity_alt,z_access_alt,underservice_index_alt
100902,CODO DEL POZUZO,PUERTO INCA,HUANUCO,6,4,5,53,20.70152689271643,18.348010292827325,59.21751008588789,0.11320754716981132,0.07547169811320754,0.39622641509433965,1.791759469228055,0.005921759859249407,-0.030391459025813385,0.12107780330296454,0.032202701378800186
100904,TOURNAVISTA,PUERTO INCA,HUANUCO,4,0,0,25,65.64423723790186,66.20753847721139,81.64384708814343,0.16,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
250305,ALEXANDER VON HUMBOLDT,PADRE ABAD,UCAYALI,3,0,0,0,,,,,,,0.0,-0.0,0.48302315667654744,-0.0,0.1610077188921825
250302,IRAZOLA,PADRE ABAD,UCAYALI,6,0,0,47,71.45867250966397,73.4989471042827,91.05657158767603,0.1276595744680851,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
250304,NESHUYA,PADRE ABAD,UCAYALI,7,0,0,0,,,,,,,0.0,-0.0,0.48302315667654744,-0.0,0.1610077188921825
250301,PADRE ABAD,PADRE ABAD,UCAYALI,14,0,0,58,56.43011062740174,55.82641481032291,94.94579810586681,0.2413793103448276,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
250303,CURIMANA,PADRE ABAD,UCAYALI,7,0,0,22,61.44117607112866,56.9757099859535,93.59932841539099,0.3181818181818182,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
100901,PUERTO INCA,PUERTO INCA,HUANUCO,9,0,0,52,51.24710944168079,53.15220819431862,69.84733222233191,0.17307692307692307,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
250106,NUEVA REQUENA,CORONEL PORTILLO,UCAYALI,6,0,0,27,37.21161854386975,37.549996690223594,48.7647539127717,0.2222222222222222,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
250102,CAMPOVERDE,CORONEL PORTILLO,UCAYALI,24,0,0,54,33.83907730986305,34.0894138682381,51.5488078582193,0.4444444444444444,0.0,0.05555555555555555,0.0,0.14286637227315324,0.48302315667654744,0.8804424137265529,0.5021106475587511
160601,CONTAMANA,UCAYALI,LORETO,6,1,99076,70,28.597606933937087,18.93987148825522,99.65031430529217,0.08571428571428572,0.014285714285714285,0.4142857142857143,11.503652604582113,0.11694471349480716,-2.813258226281365,0.08082313428446575,-0.8718301261673641
130104,HUANCHACO,TRUJILLO,LA LIBERTAD,7,2,132,15,2.293023184341779,2.358821831791735,3.8981933537812394,0.4666666666666667,0.13333333333333333,1.0,4.890349128221754,-0.09906910965807689,-0.9182680107132735,-1.224749937016995,-0.7473623524627818
130207,SANTIAGO DE CAO,ASCOPE,LA LIBERTAD,3,0,0,14,12.014638404484923,11.21134158403319,17.496136623076794,0.21428571428571427,0.0,0.7857142857142857,0.0,0.14286637227315324,0.48302315667654744,-0.7471012523945093,-0.040403907814936225
130110,SIMBAL,TRUJILLO,LA LIBERTAD,1,0,0,33,21.452965527031445,20.611058530196285,27.805259565807162,0.030303030303030304,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
130204,MAGDALENA DE CAO,ASCOPE,LA LIBERTAD,1,0,0,30,11.532786890396233,11.571136040386484,17.63731725511235,0.03333333333333333,0.0,0.8,0.0,0.14286637227315324,0.48302315667654744,-0.7789444980360084,-0.05101832302876926
130203,CHOCOPE,ASCOPE,LA LIBERTAD,3,1,111496,10,3.174845700060177,3.2716519827426684,5.648820839914054,0.3,0.1,1.0,11.621752963690746,-0.03858523917526936,-2.8470989574327357,-1.224749937016995,-1.3701447112083331
130205,PAIJAN,ASCOPE,LA LIBERTAD,2,1,87,19,3.714019647871491,3.277605141552687,7.78640218516822,0.10526315789473684,0.05263157894736842,1.0,4.477336814478207,0.04736552414240452,-0.7999225731795502,-1.224749937016995,-0.6591023286847135
130613,SINSICAP,OTUZCO,LA LIBERTAD,3,0,0,43,20.72350245271623,21.087692849112013,28.971997306594474,0.06976744186046512,0.0,0.16279069767441862,0.0,0.14286637227315324,0.48302315667654744,0.6414123656941118,0.4224339648812708
130202,CHICAMA,ASCOPE,LA LIBERTAD,2,1,350,10,8.669737604404347,7.059061989222637,18.321841388144396,0.2,0.1,0.7,5.860786223465865,-0.03858523917526936,-1.1963391451902279,-0.556041778545515,-0.5969887209703374
130206,RAZURI,ASCOPE,LA LIBERTAD,1,0,0,14,9.534408657380169,8.759985931930125,15.919895944304649,0.07142857142857142,0.0,0.9285714285714286,0.0,0.14286637227315324,0.48302315667654744,-1.0655337088094998,-0.1465480599532664
131103,MARMOT,GRAN CHIMU,LA LIBERTAD,3,0,0,26,21.706296561208852,22.563647084394397,27.759859614797342,0.11538461538461539,0.0,0.07692307692307693,0.0,0.14286637227315324,0.48302315667654744,0.8328136275106355,0.4862343854867787
130201,ASCOPE,ASCOPE,LA LIBERTAD,2,2,6831,8,2.3102207537674695,2.064537469254441,6.344619870366474,0.25,0.25,1.0,8.829372735468406,-0.3107626563479033,-2.0469643152615387,-1.224749937016995,-1.1941589695421457
131101,CASCAS,GRAN CHIMU,LA LIBERTAD,6,1,2595,98,9.371082194378745,8.523206286881306,20.11766694814391,0.061224489795918366,0.01020408163265306,0.7755102040816326,7.86172707782398,0.12435090171719176,-1.7696930453239454,-0.7243560769362957,-0.7898994068476831
130208,CASA GRANDE,ASCOPE,LA LIBERTAD,4,1,18748,24,7.699960347577957,7.8494883318744675,15.07832823294699,0.16666666666666666,0.041666666666666664,0.9583333333333334,9.83889569664295,0.06726153416964384,-2.336235197908214,-1.1318738038959562,-1.133615822544842
060505,SAN BENITO,CONTUMAZA,CAJAMARCA,2,0,0,49,13.186025420764324,12.1678169028688,21.00278996531291,0.04081632653061224,0.0,0.6530612244897959,0.0,0.14286637227315324,0.48302315667654744,-0.4514139714377324,0.058158519170656085
130701,SAN PEDRO DE LLOC,PACASMAYO,LA LIBERTAD,3,1,243,12,4.586279815566203,4.163497098009929,11.102179322727224,0.25,0.08333333333333333,1.0,5.497168225293202,-0.008343303933865575,-1.0921472611787484,-1.224749937016995,-0.7750801673765363
060503,CUPISNIQUE,CONTUMAZA,CAJAMARCA,2,0,0,33,12.264239378061896,12.070112449116534,17.54177563344707,0.06060606060606061,0.0,0.8181818181818182,0.0,0.14286637227315324,0.48302315667654744,-0.8194722652160982,-0.06452757875546584
230110,CORONEL GREGORIO ALBARRACIN LANCHIPA,TACNA,TACNA,5,1,2115,1,0.6587720490852774,0.6587720490852774,0.6587720490852774,5.0,1.0,1.0,7.65728279297819,-1.6716497422110728,-1.7111111398063108,-1.224749937016995,-1.5358369396781262
230108,POCOLLAY,TACNA,TACNA,1,0,0,8,1.8316539875959053,1.5880766771585209,3.6797889637325523,0.125,0.0,1.0,0.0,0.14286637227315324,0.48302315667654744,-1.224749937016995,-0.19962013602243145
230103,CALANA,TACNA,TACNA,2,1,162333,15,3.830944201339564,4.511355693831249,7.290874781987052,0.13333333333333333,0.06666666666666667,1.0,11.997411220164365,0.021898631307538188,-2.9547408829786437,-1.224749937016995,-1.3858640628960337
230101,TACNA,TACNA,TACNA,12,3,34284,20,23.880467119538928,28.170162426218887,36.2898730465136,0.6,0.15,0.25,10.442463219718466,-0.12931104489948064,-2.5091827353607425,0.4470204591617048,-0.7304911070328394
230109,SAMA,TACNA,TACNA,3,0,0,26,42.37423894496192,41.59787391246873,63.534332496335146,0.11538461538461539,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
230104,CIUDAD NUEVA,TACNA,TACNA,3,1,1023,1,0.796842057592977,0.796842057592977,0.796842057592977,3.0,1.0,1.0,6.931471805599453,-1.6716497422110728,-1.503135696920469,-1.224749937016995,-1.466511792049512
230303,ITE,JORGE BASADRE,TACNA,2,0,0,18,43.65700111813728,45.01673340461114,53.818871210164346,0.1111111111111111,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
180301,ILO,ILO,MOQUEGUA,6,2,54465,5,3.0128179042513707,2.8400965936109555,4.7416464722995775,1.2,0.4,1.0,10.905331932762941,-0.5829400735205372,-2.6418141328835136,-1.224749937016995,-1.4831680478070153
230102,ALTO DE LA ALIANZA,TACNA,TACNA,4,1,1354,4,2.0047930851418916,1.8297821912742145,3.773476231496503,1.0,0.25,1.0,7.2115567333138015,-0.3107626563479033,-1.5833918350886347,-1.224749937016995,-1.039634809484511
230106,PACHIA,TACNA,TACNA,4,0,0,16,25.404777249208628,16.874410409486078,51.66957344507148,0.25,0.0,0.4375,0.0,0.14286637227315324,0.48302315667654744,0.029077860117029862,0.21832246302224348
230404,ESTIQUE-PAMPA,TARATA,TACNA,1,0,0,9,46.705094741751104,48.29615592831683,52.53828672521098,0.1111111111111111,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
230403,ESTIQUE,TARATA,TACNA,1,0,0,9,49.12139799041584,52.697347160756365,59.44027208502476,0.1111111111111111,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
230407,TARUCACHI,TARATA,TACNA,1,0,0,6,56.31299718871509,55.19625195790947,61.29377936207397,0.16666666666666666,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
230105,INCLAN,TACNA,TACNA,2,0,0,18,37.80484547126432,34.65318868054491,49.007620793076754,0.1111111111111111,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
230301,LOCUMBA,JORGE BASADRE,TACNA,3,0,0,25,48.71841643819425,49.96864467041965,54.280972287484914,0.12,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
180302,EL ALGARROBAL,ILO,MOQUEGUA,0,0,0,46,12.317319248971689,10.790458216302833,30.553493979802884,0.0,0.0,0.717391304347826,0.0,0.14286637227315324,0.48302315667654744,-0.5948074688916877,0.010360686686004317
230107,PALCA,TACNA,TACNA,5,0,0,72,71.51614828974536,76.83328683282335,96.85249160442939,0.06944444444444445,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
230402,HEROES ALBARRACIN,TARATA,TACNA,2,0,0,9,55.562190583081446,55.98694901789755,56.97683658030088,0.2222222222222222,0.0,0.0,0.0,0.14286637227315324,0.48302315667654744,1.004277257887938,0.5433889289458795
